Abbrevation_internal	Abbrevation	OPC_molecular_subtype	Color_code	Molecular_superfamily	Molecular_family	Molecular_class	Molecular_subclass	description
MNG_mal	MNG_MAL		#e382fd	meningioma	meningioma	meningioma, malignant	Meningioma, malignant	The "mc meningioma malignant" cases typically show 22q deletions/NF2 mutations and additional CNVs, mostly deletions of 1p, 10 and others, and mutatinos of TERT and/or homozygous deletions of CDKN2A/B. Prognosis in this subclass is unfavourable, similar to WHO grade 3. Integration of meningioma subclasses into the brain tumor classifier is under development, thus, the specific meningioma classifier should be consulted in parallel. Integration of histology, methylation and CNVs can further increase prognostic accuracy.
MNG_CC	MNG_SMARCE1		#b430b6	meningioma	meningioma	meningioma, SMARCE1-altered	Meningioma, SMARCE1-altered	The "mc Meningioma SMARCE1-altered" typically consists of clear cell meningioma with SMARCE1 mutations and/or deletions. Prognosis in this subclass is intermediate in line with the mandatory grade 2 for clear cell meningioma by the WHO. Integration of meningioma subclasses into the brain tumor classifier is under development, thus, the specific meningioma classifier should be consulted in parallel. Integration of histology, methylation and CNVs can further increase prognostic accuracy.
MPNST_Spine	MPNST_ATYP		#ffa61a	Cranial and paraspinal nerve tumours	malignant peripheral nerve-sheath tumour	malignant peripheral nerve sheath tumour [spinal or atypical type]	Malignant peripheral nerve sheath tumour [spinal or atypical type]	
MPNST	MPNST_TYP		#ffb94d	Cranial and paraspinal nerve tumours	malignant peripheral nerve-sheath tumour	malignant peripheral nerve sheath tumour [typical type]	Malignant peripheral nerve sheath tumour [typical type]	
MYXGNT	MYXGNT		#d47a45	Low-grade glial/glioneuronal/neuroepithelial tumours	low-grade glioneuronal tumour	Myxoid glioneuronal tumour, PDGFRA-mutant	Myxoid glioneuronal tumour, PDGFRA-mutant	The "msc Myxoid glioneuronal tumour, PDGFRA-mutant" represents a low-grade glioneuronal tumour typically arising in the septal nuclei, septum pellucidum, corpus callosum, or periventricular white matter. The tumour is characterized by a proliferation of oligodendrocyte-like tumour cells embedded in a prominent myxoid stroma, often including admixed floating neurons, neurocytic rosettes, and/or perivascular neuropil. There is a recurrent dinucleotide mutation at codon p.K385 in the PDGFRA gene.
NB_1	NB_MYCN		#85c7b0	neuroblastoma	neuroblastoma	neuroblastoma	Neuroblastoma, MYCN subtype	The "mc Neuroblastoma, MYCN subtype" represents a subgroup of neuroblastoma - a peripheral neuroblastic tumour with a neural crest origin arising in childhood. The tumours of this mc often show activation of MYCN, commonly through genetic amplification. This mc refers to 'typical' peripheral neuroblastoma, as distinct from "mc CNS neuroblastoma, FOXR2-activated".
NB_2s	NB_TMM_NEG		#62b799	neuroblastoma	neuroblastoma	neuroblastoma	Neuroblastoma, subtype TMM negative	The "mc Neuroblastoma, subtype TMM negative" represents a subgroup of neuroblastoma - a peripheral neuroblastic tumour with a neural crest origin arising in childhood. The tumours of this mc appear to lack an obvious telomere maintenance mechanism (such as ALT activation or TERT expression). This mc refers to 'typical' peripheral neuroblastoma, as distinct from "mc CNS neuroblastoma, FOXR2-activated".
NB_2wo2s	NB_TMM_POS		#489d80	neuroblastoma	neuroblastoma	neuroblastoma	Neuroblastoma, subtype ALT/TERT TMM positive	The "mc Neuroblastoma, subtype ALT/TERT TMM positive" represents a subgroup of neuroblastoma - a peripheral neuroblastic tumour with a neural crest origin arising in childhood. The tumours of this mc are typically characterized by an active telomere maintenance mechanism, i.e. either ALT activation or TERT expression. This mc refers to 'typical' peripheral neuroblastoma, as distinct from "mc CNS neuroblastoma, FOXR2-activated".
HGNET_CXXC5	NET_CXXC5	CNS HGNET-MN1	#8d6eab	high-grade neuroepithelial tumour with MN1:CXXC5 fusion	high-grade neuroepithelial tumour with MN1:CXXC5 fusion	high-grade neuroepithelial tumour with MN1:CXXC5 fusion	Neuroepithelial tumour, MN1:CXXC5-fused	The "mc Neuroepithelial tumour, MN1:CXXC5-fused (novel)" is a circumscribed neuroepithelial neoplasm characterized by MN1:CXXC5 fusions. It is molecularly distinct from the "mc Astroblastoma, MN1-altered, MN1:BEND2-fused", which carry MN1 fusions with another partner as well as from the "mc Neuroepithelial tumour with PATZ1 fusion (novel)", which carry MN1-fusions with PATZ1.
HGNET_PATZ	NET_PATZ1		#233d5c	Neuroepithelial tumour with PATZ1 fusion	neuroepithelial tumour with PATZ1 fusion	neuroepithelial tumour with PATZ1 fusion	Neuroepithelial tumour with PATZ1 fusion	The "mc Neuroepithelial tumour with PATZ1 fusion (novel)" is comprised of histologically heterogeneous tumours of different grades including high- and low-grade glioma, ependymoma and several others.While the single most common diagnosis was glioblastoma (GBM), clinical data of PATZ1-fused tumours seem to show a better prognosis than typical GBM. Molecularly, these tumours are characterized by highly reccurent MN1:PATZ1 or EWSR1:PATZ1 fusions related to (often extensive) copy number variations on chromosome 22. The median age at diagnosis is around 11 years (range 0–80), with 74% of tumours occurring in patients under 18 years of age. Most tumours occur in the supratentorial region, but may rarely also be found in the posterior fossa.
EPN_ST_1	NET_PLAGL1_FUS		#e60019	Neuroepithelial tumour, PLAGL1-fused	Neuroepithelial tumour, PLAGL1-fused	Neuroepithelial tumour, PLAGL1-fused	Neuroepithelial tumour, PLAGL1-fused	The "mc neuroepithelial tumour, PLAGL1-fused" comprises supratentorial tumors which frequently receive the histolgigal diagnoses of ependymoma. Nearly all tumors in this mc carry a fusion of PLAGL1 with most frequently EWSR1 followed by FOXO1or rarer fusion partners.  Median age is 6 ranging from 1 to 30 years.
NFIB_PLEX	NFIB_PLEX		#ff9999	Cranial and paraspinal nerve tumours	Cranial and paraspinal nerve tumours	plexiform neurofibroma	Plexiform neurofibroma	The "mc Plexiform neurofibroma" represents a peripheral nerve sheath tumour containing neoplastic Schwann cells and admixed non-tumour cells. These tumours are characterized by biallelic inactivation of NF1, either somatically or in patients with one allele already inactivated in the germline (neurofibromatosis type 1). No sex predilection has been reported.
O_IDH	O_IDH	HGG, IDH	#FFE336	Adult-type diffuse gliomas	diffuse glioma, IDH mutant	diffuse glioma, IDH-mutant and 1p19q co-deleted [oligodendroglial type]	Oligodendroglioma, IDH-mutant and 1p/19q-codeleted	The "msc IDH glioma, subclass 1p/19q codeleted oligodendroglioma" exclusively comprises tumours with the diagnosis oligodendroglioma, IDH-mutant and 1p/19q-codeleted grade 2 and 3. Molecularly, this class shares an IDH mutation-associated glioma CIMP, complete 1p/19q codeletion and mostly TERT promoter mutation. A missing complete 1p/19q codeletion is not compatible with this diagnosis. Cases with elevated scores for this class but no complete 1p/19q codeletion likely represent "IDH glioma, subclass astrocytoma" or "IDH glioma, subclass high grade astrocytoma ". Copy number analysis shows complete chromosome 1p and 19q loss in all cases.
OLIGOSARC_IDH	OLIGOSARC_IDH	HGG, IDH		Adult-type diffuse gliomas	diffuse glioma, IDH mutant	diffuse glioma, IDH-mutant and 1p19q co-deleted [oligodendroglial type]	Oligosarcoma, IDH-mutant	The "mc Oligosarcoma, IDH-mutant" represents tumours with a hotspot mutation in IDH1 (or rarely IDH2) and LOH of 1p and 19q. Deletions of CDKN2A/B are also frequently observed in this mc. These tumours typically display a mixed oligodendroglial and sarcomatous morphology. This mc is a provisional class, which is still being further characterized.
ENB	ONB		#aa4a1c	esthesioneuroblastoma	esthesioneuroblastoma	esthesioneuroblastoma	Olfactory neuroblastoma	The "mc olfactory neuroblastoma, IDH-wildtype" comprises tumors diagnosed as olfactory neuroblastoma / ethesioneuroblastoma. Most cases exhibit losses on chromosomes 1, 2, 3, 4, 8, 9, 10, and 12.
PA_CORT	PA_CORT	GNT, MAPK	#764E90	Low-grade glial/glioneuronal/neuroepithelial tumours	low-grade ganglioglial/neuroepithelial tumour	supratentorial pilocytic astrocytoma	Supratentorial pilocytic astrocytoma	The "msc supratentorial pilocytic astrocytoma" is mainly comprised of tumours diagnosed as pilocytic astrocytoma, but also includes gangliogliomas and pilomyxoid astrocytomas. Tumours are located supratentorially (cerebral hemispheres). These tumours typically carry MAPK pathway alterations, more frequently BRAF V600E mutation than BRAF fusion, but also some others (NF1, KRAS etc.). The most frequent copy number alterations are gains of chromosome 5, 6 or 7 (20-30% of cases).
PA_INF	PA_INF	LGG, FGFR	#9D73C9	Low-grade glial/glioneuronal/neuroepithelial tumours	pilocytic astrocytoma	infratentorial pilocytic astrocytoma	Infratentorial pilocytic astrocytoma	The "mc infratentorial pilocytic astrocytoma" comprises the subclasses "Infratentorial pilocytic astrocytoma" and "Infratentorial pilocytic astrocytoma, FGFR1-altered" and represents pilocytic astrocytoma that are mostly located in the posterior fossa (primarily cerebellum, but also 4th ventricle).  These tumours typically carry MAPK pathway alterations, most commonly KIAA1549:BRAF fusion, but also some others (BRAF mutation, NF1 etc.), and in the "mc Infratentorial pilocytic astrocytoma, FGFR1-altered" typically FGFR1 mutations or gene fusions. In case of high quality data the BRAF duplication can be appreciated on chromosome 7q (present in >80% of the initial reference cases). Besides this, most cases show a flat profile in copy number analysis. Morphology in FGFR1-altered tumors is distinct, typically oligodendroglioma-like with a pilocytic astrocytoma-like background.
PA_INF_FGFR	PA_INF_FGFR	LGG, FGFR	#8b59bf	Low-grade glial/glioneuronal/neuroepithelial tumours	pilocytic astrocytoma	infratentorial pilocytic astrocytoma	Infratentorial pilocytic astrocytoma, FGFR1-altered	The "mc infratentorial pilocytic astrocytoma" comprises the subclasses "Infratentorial pilocytic astrocytoma" and "Infratentorial pilocytic astrocytoma, FGFR1-altered" and represents pilocytic astrocytoma that are mostly located in the posterior fossa (primarily cerebellum, but also 4th ventricle). Median age is 7 years (range 1 to 50). These tumours typically carry MAPK pathway alterations, most commonly KIAA1549:BRAF fusion, but also some others (BRAF mutation, NF1 etc.), and in the "mc Infratentorial pilocytic astrocytoma, FGFR1-altered" typically FGFR1 mutations or gene fusions. In case of high quality data the BRAF duplication can be appreciated on chromosome 7q (present in >80% of the initial reference cases). Besides this, most cases show a flat profile in copy number analysis. Morphology in FGFR1-altered tumors is distinct, typically oligodendroglioma-like with a pilocytic astrocytoma-like background.
PA_MID	PA_MID	LGG, MAPK	#B890E0	Low-grade glial/glioneuronal/neuroepithelial tumours	pilocytic astrocytoma	supratentorial midline pilocytic astrocytoma	Supratentorial midline pilocytic astrocytoma	The "msc Supratentorial midline pilocytic astrocytoma" represents pilocytic astrocytoma and can also comprise tumors previously designated as pilomyxoid astrocytoma. They are located in supratentorial midline structures (thalamus, optic pathway, 3rd ventricle). These tumours typically carry MAPK pathway alterations, most commonly KIAA1549:BRAF fusion, but also some others (for example FGFR1 mutation is recurrently observed in this class and NF1-associated OPGs typically belong to this category). In case of high quality data the BRAF duplication can be appreciated on chromosome 7q (present in >60% of the reference cases). Besides this, most cases show a flat profile in copy number analysis.
PB_MYC	PB_FOXR2		#7ae533	Pineal parenchymal and retinal tumours	pineoblastoma, MYC/FOXR2-activated	Pineoblastoma, MYC/FOXR2-activated	Pineoblastoma, MYC/FOXR2-activated	The "msc Pineoblastoma, MYC/FOXR2-activated" represents pineoblastoma that mostly arise in infants and exhibit recurrent focal gains or amplifications affecting the MYC region as well as chromosome 16q losses. MYC activation and overexpression of FOXR2 are characteristic features.
PB_Grp1A	PB_GRP1A		#cbf5af	Pineal parenchymal and retinal tumours	pineoblastoma	Pineoblastoma, miRNA pathway altered, group 1	Pineoblastoma, miRNA pathway altered, group 1A	The "mc Pineoblastoma, miRNA pathway altered, group 1" comprises the subclasses "Pineoblastoma, miRNA pathway altered, group 1A", "Pineoblastoma, miRNA pathway altered, group 1B, and "Pineoblastoma, miRNA pathway altered, group 2" and represents the most frequent types of pineoblastoma. They are characterised by frequent mutations DROSHA, DGCR8 or DICER1. Subclass group 1A tumors are enriched for DROSHA alterations and have mostly balanced copy number profiles, whereas group 1B tumors harbour more frequently alterations of DICER1, 8q and 14q gains, accompanied by monosomy 16. Group 2 cases have no specific mutation distribution within the three mostly affected genes and often showw deletions of 14q. The subclasses are subject to further characterisation.
PB_Grp1B	PB_GRP1B		#b5f18e	Pineal parenchymal and retinal tumours	pineoblastoma	Pineoblastoma, miRNA pathway altered, group 1	Pineoblastoma, miRNA pathway altered, group 1B	The "mc Pineoblastoma, miRNA pathway altered, group 1" comprises the subclasses "Pineoblastoma, miRNA pathway altered, group 1A", "Pineoblastoma, miRNA pathway altered, group 1B, and "Pineoblastoma, miRNA pathway altered, group 2" and represents the most frequent types of pineoblastoma. They are characterised by frequent mutations DROSHA, DGCR8 or DICER1. Subclass group 1A tumors are enriched for DROSHA alterations and have mostly balanced copy number profiles, whereas group 1B tumors harbour more frequently alterations of DICER1, 8q and 14q gains, accompanied by monosomy 16. Group 2 cases have no specific mutation distribution within the three mostly affected genes and often showw deletions of 14q. The subclasses are subject to further characterisation.
PB_Grp2	PB_GRP2		#98eb60	Pineal parenchymal and retinal tumours	pineoblastoma	Pineoblastoma, miRNA pathway altered, group 2	Pineoblastoma, miRNA pathway altered, group 2	The "mc Pineoblastoma, miRNA pathway altered, group 1" comprises the subclasses "Pineoblastoma, miRNA pathway altered, group 1A", "Pineoblastoma, miRNA pathway altered, group 1B, and "Pineoblastoma, miRNA pathway altered, group 2" and represents the most frequent types of pineoblastoma. They are characterised by frequent mutations DROSHA, DGCR8 or DICER1. Subclass group 1A tumors are enriched for DROSHA alterations and have mostly balanced copy number profiles, whereas group 1B tumors harbour more frequently alterations of DICER1, 8q and 14q gains, accompanied by monosomy 16. Group 2 cases have no specific mutation distribution within the three mostly affected genes and often show deletions of 14q. The subclasses are subject to further characterisation.
HGG_chr6CTX_A	pedHGG_A	HGG, H3 wildtype	#094903	Paediatric-type diffuse high-grade gliomas	Diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype	Diffuse paediatric-type high grade glioma, H3 wildtype and IDH wild type, Subtype A&B (novel)	Diffuse paediatric-type high grade glioma, H3 wildtype and IDH wild type, Subtype A	The "mc Diffuse paediatric-type high grade glioma, H3 wildtype and IDH wild type, Subtypes A and B (novel)" is comrised of diffuse gliomas with histological features of malignancy, typically occurring in children, adolescents, or young adults (CNS WHO grade 4).  The median age of patients with pHGG, H3-wildtype and IDH-wildtype, is currently unclear because published series have focused on paediatric cases and the occurrence in the adult population may therefore be underestimated. Both subtypes A and B are enriched for chromothripsis on chromosome 6 driven by structural rearrangements leading to enhancer hijacking and activation of NR2E1. tumours from this subtype mostly involve xxx brain regions...
HGG_chr6CTX_B	pedHGG_B	HGG, H3 wildtype	#0f7a05	Paediatric-type diffuse high-grade gliomas	Diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype	Diffuse paediatric-type high grade glioma, H3 wildtype and IDH wild type, Subtype A&B (novel)	Diffuse paediatric-type high grade glioma, H3 wildtype and IDH wild type, Subtype B	The "mc Diffuse paediatric-type high grade glioma, H3 wildtype and IDH wild type, Subtypes A and B (novel)" is comrised of diffuse gliomas with histological features of malignancy, typically occurring in children, adolescents, or young adults (CNS WHO grade 4).  The median age of patients with pHGG, H3-wildtype and IDH-wildtype, is currently unclear because published series have focused on paediatric cases and the occurrence in the adult population may therefore be underestimated. Both subtypes A and B are enriched for chromothripsis on chromosome 6 driven by structural rearrangements leading to enhancer hijacking and activation of NR2E1. tumours from this subtype mostly involve xxx brain regions...
GBM_pedMYCN	pedHGG_MYCN	HGG, H3 wildtype	#19cd19	Paediatric-type diffuse high-grade gliomas	Diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype	Diffuse paediatric-type high grade glioma, MYCN subtype	Diffuse paediatric-type high grade glioma, MYCN subtype	The "mc Diffuse paediatric-type high grade glioma, MYCN subtype" is comrised of H3-wildtype and IDH-wildtype diffuse gliomas with histological features of malignancy, typically occurring in children, adolescents, or young adults (CNS WHO grade 4).  The median age of patients with pHGG, H3-wildtype and IDH-wildtype, is currently unclear because published series have focused on paediatric cases and the occurrence in the adult population may therefore be underestimated.This particular subtype very commonly is associated with amplifications of the MYCN oncogene, often with co-amplification of the nearby ID2 gene.  Site predilections of tumours from this subtype include the supratentorial brain (in 86% of cases) and infratentorial/brainstem structures (in 14% of cases).
GBM_pedRTK1a	pedHGG_RTK1A	HGG, H3 wildtype	#34a111	Paediatric-type diffuse high-grade gliomas	Diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype	Diffuse paediatric-type high grade glioma, RTK1 subtype	Diffuse paediatric-type high grade glioma, RTK1 subtype, subclass A (novel)	The "mc Diffuse paediatric-type high grade glioma, RTK1 subtype" is comrised of H3-wildtype and IDH-wildtype diffuse gliomas with histological features of malignancy, typically occurring in children, adolescents, or young adults (CNS WHO grade 4).  The median age of patients with pHGG, H3-wildtype and IDH-wildtype, is currently unclear because published series have focused on paediatric cases and the occurrence in the adult population may therefore be underestimated. This particular subtype is enriched for PDGFRA amplifications (~33% of cases). Site predilections of tumours from this subtype include  the supratentorial brain (in 82% of cases) and infratentorial/brainstem sites (in 18% of cases). Tumours arising subsequent to cranial irradiation and those occurring in the context of CMMRD and Lynch syndrome predominantly belong to the RTK1 subtype. By methylation analysis, this methylation class further splits up into subtypes A, B and C. The molecular deteminants and clinical consequences of this are currently not well understood, but Lynch/cMMRD associated GBM are enriched in subtype A.
GBM_pedRTK1b	pedHGG_RTK1B	HGG, H3 wildtype	#5de930	Paediatric-type diffuse high-grade gliomas	Diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype	Diffuse paediatric-type high grade glioma, RTK1 subtype	Diffuse paediatric-type high grade glioma, RTK1 subtype, subclass B (novel)	The "mc Diffuse paediatric-type high grade glioma, RTK1 subtype" is comrised of H3-wildtype and IDH-wildtype diffuse gliomas with histological features of malignancy, typically occurring in children, adolescents, or young adults (CNS WHO grade 4).  The median age of patients with pHGG, H3-wildtype and IDH-wildtype, is currently unclear because published series have focused on paediatric cases and the occurrence in the adult population may therefore be underestimated. This particular subtype is enriched for PDGFRA amplifications (~33% of cases). Site predilections of tumours from this subtype include  the supratentorial brain (in 82% of cases) and infratentorial/brainstem sites (in 18% of cases). Tumours arising subsequent to cranial irradiation and those occurring in the context of CMMRD and Lynch syndrome predominantly belong to the RTK1 subtype. By methylation analysis, this methylation class further splits up into subtypes A, B and C. The molecular deteminants and clinical consequences of this are currently not well understood, but radiation-induced gliomas are enriched in subtypes B and C.
GBM_pedRTK1c	pedHGG_RTK1C	HGG, H3 wildtype	#43cf16	Paediatric-type diffuse high-grade gliomas	Diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype	Diffuse paediatric-type high grade glioma, RTK1 subtype	Diffuse paediatric-type high grade glioma, RTK1 subtype, subclass C (novel)	The "mc Diffuse paediatric-type high grade glioma, RTK1 subtype" is comrised of H3-wildtype and IDH-wildtype diffuse gliomas with histological features of malignancy, typically occurring in children, adolescents, or young adults (CNS WHO grade 4).  The median age of patients with pHGG, H3-wildtype and IDH-wildtype, is currently unclear because published series have focused on paediatric cases and the occurrence in the adult population may therefore be underestimated. This particular subtype is enriched for PDGFRA amplifications (~33% of cases). Site predilections of tumours from this subtype include  the supratentorial brain (in 82% of cases) and infratentorial/brainstem sites (in 18% of cases). Tumours arising subsequent to cranial irradiation and those occurring in the context of CMMRD and Lynch syndrome predominantly belong to the RTK1 subtype. By methylation analysis, this methylation class further splits up into subtypes A, B and C. The molecular deteminants and clinical consequences of this are currently not well understood, but radiation-induced gliomas are enriched in subtypes B and C.
GBM_pedRTK2	pedHGG_RTK2A	HGG, H3 wildtype	#1adb0b	Paediatric-type diffuse high-grade gliomas	Diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype	Diffuse paediatric-type high grade glioma, RTK2 subtype	Diffuse paediatric-type high grade glioma, RTK2 subtype, subclass A (novel)	The "mc Diffuse paediatric-type high grade glioma, RTK2 subtype" is comrised of H3-wildtype and IDH-wildtype diffuse gliomas with histological features of malignancy, typically occurring in children, adolescents, or young adults (CNS WHO grade 4).  The median age of patients with pHGG, H3-wildtype and IDH-wildtype, is currently unclear because published series have focused on paediatric cases and the occurrence in the adult population may therefore be underestimated.This particular subtype is enriched for EGFR amplifications and mutations (>50% of cases) and TERT promoter mutations (~64% of cases). tumours from this subtype mostly involve supratentorial structures (in 96% of cases). By methylation analysis, this methylation class further splits up into subtypes A and B. The molecular deteminants and clinical consequences of this are currently not well understood.
GBM_pedRTK2b	pedHGG_RTK2B	HGG, H3 wildtype	#61f755	Paediatric-type diffuse high-grade gliomas	Diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype	Diffuse paediatric-type high grade glioma, RTK2 subtype	Diffuse paediatric-type high grade glioma, RTK2 subtype, subclass B (novel)	The "mc Diffuse paediatric-type high grade glioma, RTK2 subtype" is comrised of H3-wildtype and IDH-wildtype diffuse gliomas with histological features of malignancy, typically occurring in children, adolescents, or young adults (CNS WHO grade 4).  The median age of patients with pHGG, H3-wildtype and IDH-wildtype, is currently unclear because published series have focused on paediatric cases and the occurrence in the adult population may therefore be underestimated.This particular subtype is enriched for EGFR amplifications and mutations (>50% of cases) and TERT promoter mutations (~64% of cases). tumours from this subtype mostly involve supratentorial structures (in 96% of cases). By methylation analysis, this methylation class further splits up into subtypes A and B. The molecular deteminants and clinical consequences of this are currently not well understood.
PGNT	PGNT		#ba602b	Low-grade glial/glioneuronal/neuroepithelial tumours	low-grade glioneuronal tumour	papillary glioneuronal tumour	Papillary glioneuronal tumour	The "mc Papillary glioneuronal tumour" represents a glioneruonal tumour with variable representation of pseudopapillary glial structures and interpapillary neuronal components, and with PRKCA gene fusion (mainly SLC44A1:PRKCA fusion) as the key genetic driver event. They are typically supratentorially located. Although detailed epidemiological data are lacking, it appears to be a tumour primarily of young adults. No sex predilection has been reported.
Pin_Cyt	PIN_CYT		#88c652	Pineal parenchymal and retinal tumours	normal pineal gland and pineocytoma	pineocytoma	Pineocytoma	The "mf Normal pineal gland and pineocytoma" includes "mc Pineocytoma" and "mc Control tissue, pineal gland", which are often difficult to categoically distinguish based on DNA methylation. Within this mf, "mc Pineocytoma" refers to a well-differentiated pineal parenchymal neoplasm which can occur at any age (but typically in adults), with a predilection for females (M:F ratio 0.6:1). There are currently no genetic drivers defined for this class.
Pin_RB	PIN_RB		#b6dc95	Pineal parenchymal and retinal tumours	pineal/retinal RB1-related tumour	pineal retinoblastoma	Pineal retinoblastoma	The "mc Pineal retinoblastoma" represents a distinct subtype of tumours with the histological diagnosis of pineoblastoma, i.e. a poorly differentiated, cellular, embryonal neoplasm of the pineal parenchyma. This mc arises predominantly in very young children (<3 years), and has one of the poorest clinical outcomes amongst the pineal parenchymal tumours. The majority of tumours in this mc show a genetic aberration in RB1, including both sporadic cases as well as germline RB1 (trilateral retinoblastoma). This mc also shows similarities with the methylation profile of true ocular retinoblastoma. Gain of chromosome 1q and 6p and loss of chromosome 16q are frequent features of copy number analysis.
PITAD_ACTH	PITAD_ACTH		#137D75	tumours of the sellar region	pituitary adenoma	pituitary adenoma, ACTH-producing	Pituitary adenoma, ACTH-producing	The "mc Pituitary adenoma, ACTH-producing" represents corticotroph pituitary tumours, arising as a clonal neoplastic proliferation of anterior pituitary hormone-producing cells. Recurrent somatic mutations of USP48 or USP8 have been reported in these tumours, and chromosomal imbalances at the copy number level can also be observed. Median age of onset is around 45-50 years.
PITAD_GON	PITAD_GON		#44A199	tumours of the sellar region	pituitary adenoma	pituitary adenoma, gonadotrophin-producing	Pituitary adenoma, gonadotrophin-producing	The "mc Pituitary adenoma, gonadotrophin-producing" represents gonadotroph pituitary tumours, arising as a clonal neoplastic proliferation of anterior pituitary hormone-producing cells. No recurrent somatic mutations have been reported in these tumours as yet, and chromosomal imbalances at the copy number level are rare. Median age of onset is around 60-65 years.
PITAD_PRL	PITAD_PRL		#00B1A9	tumours of the sellar region	pituitary adenoma	pituitary adenoma, prolactin-producing	Pituitary adenoma, prolactin-producing	The "mc Pituitary adenoma, prolactin-producing" represents lactotroph pituitary tumours, arising as a clonal neoplastic proliferation of anterior pituitary hormone-producing cells. No recurrent somatic mutations have been reported in these tumours as yet, but chromosomal imbalances at the copy number level are frequently observed. Median age of onset is around 55-60 years.
PITAD_STH_DENSE1	PITAD_STH_DENSE1		#01C3BD	tumours of the sellar region	pituitary adenoma	pituitary adenoma, STH-producing	Pituitary adenoma, STH-producing, subclass densely granulated A	The "mf Pituitary adenoma, STH producing" includes the currently provisional methytlation classes "mc Pituitary adenoma, subtype STH-producing, subclass densely granulated A", "mc Pituitary adenoma, subtype STH-producing, subclass densely granulated B", and "mc Pituitary adenoma, subtype STH-producing, subclass sparsely granulated". This mf represents somatotroph pituitary tumours, arising as a clonal neoplastic proliferation of anterior pituitary hormone-producing cells. Recurrent somatic mutations of GNAS have been reported in these tumours, and copy number alterations affecting whole chromosomes are also often observed. Median age of onset is around 45-50 years.
PITAD_STH_DENSE2	PITAD_STH_DENSE2		#14C5C9	tumours of the sellar region	pituitary adenoma	pituitary adenoma, STH-producing	Pituitary adenoma, STH-producing, subclass densely granulated B	The "mf Pituitary adenoma, STH producing" includes the currently provisional methytlation classes "mc Pituitary adenoma, subtype STH-producing, subclass densely granulated A", "mc Pituitary adenoma, subtype STH-producing, subclass densely granulated B", and "mc Pituitary adenoma, subtype STH-producing, subclass sparsely granulated". This mf represents somatotroph pituitary tumours, arising as a clonal neoplastic proliferation of anterior pituitary hormone-producing cells. Recurrent somatic mutations of GNAS have been reported in these tumours, and copy number alterations affecting whole chromosomes are also often observed. Median age of onset is around 45-50 years.
PITAD_STH_SPARSE	PITAD_STH_SPARSE		#41CCBE	tumours of the sellar region	pituitary adenoma	pituitary adenoma, STH-producing	Pituitary adenoma, STH-producing, subclass sparsely granulated	The "mf Pituitary adenoma, STH producing" includes the currently provisional methytlation classes "mc Pituitary adenoma, subtype STH-producing, subclass densely granulated A", "mc Pituitary adenoma, subtype STH-producing, subclass densely granulated B", and "mc Pituitary adenoma, subtype STH-producing, subclass sparsely granulated". This mf represents somatotroph pituitary tumours, arising as a clonal neoplastic proliferation of anterior pituitary hormone-producing cells. Recurrent somatic mutations of GNAS have been reported in these tumours, and copy number alterations affecting whole chromosomes are also often observed. Median age of onset is around 45-50 years.
PITAD_TSH	PITAD_TSH		#12D7C7	tumours of the sellar region	pituitary adenoma	pituitary adenoma, TSH-producing	Pituitary adenoma, TSH-producing	The "mc Pituitary adenoma, TSH-producing" represents thyrotroph pituitary tumours, arising as a clonal neoplastic proliferation of anterior pituitary hormone-producing cells. No recurrent somatic mutations have been reported in these tumours as yet, but chromosomal imbalances at the copy number level are frequently observed. Median age of onset is around 45 years.
PITUI	PITUI		#58D8DB	tumours of the sellar region	Pituicytoma, granular cell tumour of the sellar region, and spindle-cell oncocytoma	Pituicytoma, granular cell tumour of the sellar region, and spindle-cell oncocytoma	Pituicytoma, granular cell tumour of the sellar region, and spindle-cell oncocytoma	The "mc Pituicytoma, granular cell tumour of the sellar region, and spindle-cell oncocytoma" represents a group of low-grade tumos arising from pituicytes, with divergent morphology but similar molecular patterns. All tumours show expression of TTF1. These tumours are rare, and epidemiological data are sparse at present. Most reports indicate a peak incidence in the fifth and sixth decades. Some recent studies indicate a possible role for somatic alterations in the MAPK pathway as an nuderlying driver event for these tumours, including BRAF V600E and HRAS mutations.
PCNSL_PLAS	PLASMACYT		#632F63	Haematolymphoid tumours involving the CNS	B cell neoplasm	Plasmacytoma of the CNS	Plasmacytoma of the CNS	The "msc plasmacytoma of the CNS" exclusively comprises manifestations of plasmacytoma of bones or connective tissue adjacent to the brain or spinal cord. This class is included as a diagnostically relevant differential diagnosis to various brain tumours. Other types of plasma cell tumours or other plasma cell rich process may likely also be classified into this class. Chromosomal changes are frequent and often complex.
